timestamp,platform,item_id,title,vrm,vrm_source,vrm_confidence,buy_price,expected_resale,base_repair,worst_repair,fees_total,expected_profit,max_bid,shock_ratio,velocity,decision,ulez,url
2026-03-16T20:09:48+00:00,ebay,v1|377038606453|0,Vw Polo 1.4 match,,,0.00,1795,3380,240,820,270,815,2060,0.27,67.9,BUY,?,https://www.ebay.co.uk/itm/377038606453?_skw=volkswagen+polo&hash=item57c9409075:g:mJQAAeSwcQFprw1p
2026-03-16T20:09:48+00:00,ebay,v1|168227484524|0,2012 Vauxhall Corsa 1.0 ecoFLEX S 3dr HATCHBACK Petrol Manual,HE2012,regex_description,0.80,1395,2862,230,770,229,748,1593,0.26,62.3,BUY,yes,https://www.ebay.co.uk/itm/168227484524?_skw=vauxhall+corsa&hash=item272b23b36c:g:CMgAAeSw8fVpoyE6
2026-03-16T20:09:48+00:00,ebay,v1|287208353084|0,2013 Vauxhall Corsa,,,0.00,1395,2862,230,770,229,748,1593,0.26,62.3,BUY,?,https://www.ebay.co.uk/itm/287208353084?_skw=vauxhall+corsa&hash=item42def3ad3c:g:XNMAAeSwrtFpt656
2026-03-16T20:09:48+00:00,ebay,v1|377036143709|0,2013 Vauxhall Corsa limited edition,,,0.00,1495,2862,230,770,229,648,1593,0.26,54.0,BUY,?,https://www.ebay.co.uk/itm/377036143709?_skw=vauxhall+corsa&hash=item57c91afc5d:g:slEAAeSwMcVptngW
2026-03-16T20:09:48+00:00,ebay,v1|406765982366|0,Ford Fiesta 2013 Diesel,,,0.00,1400,2764,240,820,221,643,1493,0.27,53.6,BUY,no,https://www.ebay.co.uk/itm/406765982366?_skw=ford+fiesta&hash=item5eb524529e:g:EicAAeSwH4JptTDP
2026-03-16T20:09:48+00:00,ebay,v1|157742339540|0,2012 Vauxhall Corsa Sxi,,,0.00,1600,2862,230,770,229,543,1593,0.26,45.2,BUY,?,https://www.ebay.co.uk/itm/157742339540?_skw=vauxhall+corsa&hash=item24ba2d15d4:g:e9oAAeSwM0tpmwBP
2026-03-16T20:09:48+00:00,ebay,v1|389757408555|0,Ford Fiesta 1.0T EcoBoost Zetec Hatchback 3dr Petrol Manual Euro 5 2013 RED,2013IN,regex_description,0.78,1500,2764,240,820,221,543,1493,0.27,45.3,BUY,yes,https://www.ebay.co.uk/itm/389757408555?_skw=ford+fiesta&hash=item5abf5a152b:g:a9QAAeSwnc1puCTD
2026-03-16T20:09:48+00:00,ebay,v1|406756959444|0,Ford Fiesta 1.4 Flame- Low Mileage;cheap runner.ULEZ,,,0.00,995,2134,240,820,171,468,913,0.27,39.0,BUY,?,https://www.ebay.co.uk/itm/406756959444?_skw=ford+fiesta&hash=item5eb49aa4d4:g:NLoAAeSwH4RpscXN
2026-03-16T20:09:48+00:00,ebay,v1|406773704844|0,FORD FIESTA TITANIUM MK7 5DR HATCH,,,0.00,1000,2134,240,820,171,463,913,0.27,38.6,BUY,?,https://www.ebay.co.uk/itm/406773704844?_skw=ford+fiesta&hash=item5eb59a288c:g:ntEAAeSwjlJptsIv
2026-03-16T20:09:48+00:00,ebay,v1|287199217808|0,Ford Fiesta Edge 2010 full service history,1242CC,regex_page_scrape,0.78,1250,2231,100,785,178,443,1143,0.26,36.9,BUY,?,https://www.ebay.co.uk/itm/287199217808?_skw=ford+fiesta&hash=item42de684890:g:0u0AAeSwH4Rps1tN
2026-03-16T20:09:48+00:00,ebay,v1|177966306955|0,Ford Fiesta (2010) 1.4 Zetec Hatchback 5dr Petrol Manual,,,0.00,1145,2231,240,820,178,408,1003,0.27,34.0,BUY,yes,https://www.ebay.co.uk/itm/177966306955?_skw=ford+fiesta&hash=item296f9e568b:g:~RwAAeSwlJNpp9-9
2026-03-16T20:09:48+00:00,ebay,v1|327040174580|0,2013 Ford Fiesta Zetec 1242 cc,1242CC,regex_description,0.78,1650,2764,240,820,221,393,1493,0.27,32.8,OFFER,?,https://www.ebay.co.uk/itm/327040174580?_skw=ford+fiesta&hash=item4c251d09f4:g:4tEAAeSwrWhppINV
2026-03-16T20:09:48+00:00,ebay,v1|198179214167|0,HONDA JAZZ 1.4 PETROL CAR -LONG MOT- ONLY 99;785 MILES! GOOD DRIVE -GOOD HISTORY,,,0.00,825,1501,20,630,120,276,551,0.21,23.0,OFFER,?,https://www.ebay.co.uk/itm/198179214167?_skw=honda+jazz&hash=item2e2466d357:g:ZfoAAeSwwPRpsvv~
2026-03-16T20:09:48+00:00,ebay,v1|277788234599|0,Vauxhall Corsa 1.4 SXI AC2010,,,0.00,1000,1935,230,770,155,290,740,0.26,24.2,OFFER,?,https://www.ebay.co.uk/itm/277788234599?_skw=vauxhall+corsa&hash=item40ad781367:g:6RkAAeSwCxZpry8S
